feature,coef_scaled,coef_original,abs_coef_scaled,abs_coef_original
state_cross_project_ratio_last,0.12047821072189233,0.6864708545536375,0.12047821072189233,0.6864708545536375
state_review_participation_rate_trend,0.1196410771630905,0.43879563526576265,0.1196410771630905,0.43879563526576265
state_weekend_activity_ratio_last,-0.11963443106958713,-0.756054356622312,0.11963443106958713,0.756054356622312
state_avg_complexity_30d_last,-0.11953681969668155,-0.6391265997525603,0.11953681969668155,0.6391265997525603
state_avg_files_per_change_max,0.11773206372513681,0.008458271559711412,0.11773206372513681,0.008458271559711412
state_multi_file_change_ratio_mean,-0.1170425277221295,-2.3727956569331705,0.1170425277221295,2.3727956569331705
state_collaboration_diversity_min,0.11679861452346862,1.2684858266170926,0.11679861452346862,1.2684858266170926
state_activity_freq_7d_max,0.11400977106627548,1.1602508546809869,0.11400977106627548,1.1602508546809869
state_multi_file_change_ratio_max,0.11276149429671668,1.545697954010282,0.11276149429671668,1.545697954010282
state_avg_complexity_30d_trend,0.1127518412060922,0.42287754579992504,0.1127518412060922,0.42287754579992504
action_files_count_max,0.11244191029354907,0.08895994283983041,0.11244191029354907,0.08895994283983041
state_review_response_time_last,-0.11203782534187343,-0.015574859772511508,0.11203782534187343,0.015574859772511508
state_code_churn_7d_mean,0.10852359930397178,0.0002926392482259391,0.10852359930397178,0.0002926392482259391
state_file_type_diversity_min,0.10826551045997237,1.5266719543678633,0.10826551045997237,1.5266719543678633
state_specialization_score_max,0.10764809734193073,1.4750868821171208,0.10764809734193073,1.4750868821171208
state_avg_lines_per_change_mean,-0.10653643669879669,-0.00036065713106906837,0.10653643669879669,0.00036065713106906837
state_cross_project_ratio_max,-0.10474810158321701,-1.082278905298874,0.10474810158321701,1.082278905298874
state_review_load_30d_min,0.10337493121540643,0.0977092561536424,0.10337493121540643,0.0977092561536424
state_review_load_7d_trend,-0.10251156931344217,-0.010613866315944274,0.10251156931344217,0.010613866315944274
state_avg_directory_depth_max,-0.10201377149424179,-1.875570391551344,0.10201377149424179,1.875570391551344
state_collaboration_diversity_trend,0.10153559393562121,0.3640900388171402,0.10153559393562121,0.3640900388171402
state_avg_complexity_7d_last,0.10081563305310624,0.5329821678013897,0.10081563305310624,0.5329821678013897
state_review_response_time_max,-0.09845036446318174,-0.013029353069842521,0.09845036446318174,0.013029353069842521
action_response_latency_min,0.09758897899143029,0.7269786109540343,0.09758897899143029,0.7269786109540343
state_lines_changed_7d_min,-0.09748934548886852,-0.010996342612888094,0.09748934548886852,0.010996342612888094
state_avg_complexity_7d_min,-0.09705365386733769,-1.312148235069512,0.09705365386733769,1.312148235069512
state_peak_activity_hour_min,-0.09619751213967773,-0.06880370329826693,0.09619751213967773,0.06880370329826693
state_consecutive_active_days_last,0.0953282122759099,0.044062285429938126,0.0953282122759099,0.044062285429938126
action_response_latency_max,0.09460381050377492,0.03866413912925717,0.09460381050377492,0.03866413912925717
state_review_load_7d_min,-0.09382995511687021,-0.08623448848465591,0.09382995511687021,0.08623448848465591
state_total_files_touched_last,-0.09266921999640108,-0.000591350965334324,0.09266921999640108,0.000591350965334324
state_avg_complexity_7d_trend,-0.09172421380802359,-0.34588785172191266,0.09172421380802359,0.34588785172191266
state_total_files_touched_trend,0.09032938408873334,0.0004037067164505023,0.09032938408873334,0.0004037067164505023
state_unique_collaborators_last,-0.08942026325139639,-0.4518641429373377,0.08942026325139639,0.4518641429373377
state_activity_freq_7d_last,-0.0893556066562842,-0.5559299805850191,0.0893556066562842,0.5559299805850191
action_complexity_trend,-0.08685519566087949,-0.3235573535248337,0.08685519566087949,0.3235573535248337
state_total_changes_min,0.08645164945031743,0.028638468081630425,0.08645164945031743,0.028638468081630425
state_avg_interaction_strength_min,0.08616974095923872,2.365454466865015,0.08616974095923872,2.365454466865015
action_complexity_min,-0.08419183701590152,-1.1695668941008661,0.08419183701590152,1.1695668941008661
state_review_participation_rate_max,-0.08402724974380982,-1.1580192667016214,0.08402724974380982,1.1580192667016214
state_total_changes_trend,0.0834451625974998,3.08923015400018e-05,0.0834451625974998,3.08923015400018e-05
action_change_size_trend,-0.083233024672174,-5.833766425732816e-05,0.083233024672174,5.833766425732816e-05
state_multi_file_change_ratio_min,0.08079819691233506,1.1257704842282998,0.08079819691233506,1.1257704842282998
action_quality_mean,0.08011770331807705,1.779293990962566,0.08011770331807705,1.779293990962566
state_avg_code_complexity_max,0.07969449723314963,1.0910679564042418,0.07969449723314963,1.0910679564042418
state_code_churn_7d_trend,0.07912941364321764,3.326433037348259e-05,0.07912941364321764,3.326433037348259e-05
state_peak_activity_hour_mean,-0.0785479184506232,-0.043456996065859343,0.0785479184506232,0.043456996065859343
state_peak_activity_hour_trend,-0.07754573629678167,-0.00784953078376453,0.07754573629678167,0.00784953078376453
state_consecutive_active_days_trend,-0.07737026709918493,-0.025442848744248184,0.07737026709918493,0.025442848744248184
state_cross_project_ratio_min,-0.07661119815004826,-1.7456649807932665,0.07661119815004826,1.7456649807932665
state_activity_freq_7d_mean,-0.07639525709846,-1.8745997784603063,0.07639525709846,1.8745997784603063
state_activity_freq_90d_max,0.07622873435610528,0.8152052675285355,0.07622873435610528,0.8152052675285355
state_avg_code_complexity_mean,0.07316498629418497,1.5532252142092047,0.07316498629418497,1.5532252142092047
state_avg_files_per_change_mean,-0.07284756468763354,-0.04618888147949194,0.07284756468763354,0.04618888147949194
state_activity_freq_30d_mean,-0.07110296668111342,-1.5145449487564728,0.07110296668111342,1.5145449487564728
state_activity_freq_90d_mean,0.07101089623895308,1.3561721826430928,0.07101089623895308,1.3561721826430928
action_quality_trend,0.07090951303486716,0.2820460268503365,0.07090951303486716,0.2820460268503365
state_review_load_30d_last,-0.07088966612899802,-0.01046330108481203,0.07088966612899802,0.01046330108481203
state_unique_collaborators_mean,0.0695884992083197,1.367220052096926,0.0695884992083197,1.367220052096926
state_total_projects_mean,0.06955498884145903,0.047532812840915956,0.06955498884145903,0.047532812840915956
state_review_response_time_trend,-0.0688874260471255,-0.006738120407946183,0.0688874260471255,0.006738120407946183
action_files_count_min,0.0686598817530025,0.1231196070041113,0.0686598817530025,0.1231196070041113
state_multi_file_change_ratio_last,0.06848968102551627,0.3623905909898168,0.06848968102551627,0.3623905909898168
state_specialization_score_trend,-0.06824652722809872,-0.25926134962541225,0.06824652722809872,0.25926134962541225
state_collaboration_diversity_max,0.06792020489465983,1.2427472767414942,0.06792020489465983,1.2427472767414942
state_file_type_diversity_trend,0.06478262013266846,0.24359159729693036,0.06478262013266846,0.24359159729693036
action_intensity_mean,-0.0625942321874981,-1.2179355139633317,0.0625942321874981,1.2179355139633317
state_avg_review_depth_last,-0.06122866564474646,-0.3116789969854998,0.06122866564474646,0.3116789969854998
state_avg_lines_per_change_min,0.05995880646024397,0.005119560949654042,0.05995880646024397,0.005119560949654042
state_avg_lines_per_change_last,-0.05849892706119626,-4.505313382730894e-05,0.05849892706119626,4.505313382730894e-05
state_total_changes_last,-0.057205700594645935,-2.6235618122343446e-05,0.057205700594645935,2.6235618122343446e-05
state_code_churn_30d_min,0.05708003743190025,0.005031022305924015,0.05708003743190025,0.005031022305924015
state_total_projects_last,0.0568794092212024,0.010470002072028101,0.0568794092212024,0.010470002072028101
