history_months,target_months,reference_period_months,target_reviewer_count,sequence_mode,seq_len,train_samples,test_samples,auc_roc,auc_pr,accuracy,precision,recall,f1,model_path
18,15,6,291,True,15,232,59,0.8779264214046822,0.9449883188234706,0.8135593220338984,0.972972972972973,0.782608695652174,0.8674698795180723,importants/irl_matrix_8x8_2023q1/models/irl_h18m_t15m_fixed_seq.pth
18,18,6,291,True,15,232,59,0.8461538461538461,0.9331666393698603,0.8135593220338984,0.9487179487179487,0.8043478260869565,0.8705882352941177,importants/irl_matrix_8x8_2023q1/models/irl_h18m_t18m_fixed_seq.pth
18,21,6,291,True,15,232,59,0.8439716312056738,0.9406949140992015,0.8305084745762712,0.9743589743589743,0.8085106382978723,0.8837209302325582,importants/irl_matrix_8x8_2023q1/models/irl_h18m_t21m_fixed_seq.pth
18,24,6,291,True,15,232,59,0.8465909090909091,0.9463705086064329,0.8305084745762712,0.975,0.8125,0.8863636363636364,importants/irl_matrix_8x8_2023q1/models/irl_h18m_t24m_fixed_seq.pth
21,3,6,291,True,15,232,59,0.8243243243243245,0.873664533025548,0.6949152542372882,0.88,0.5945945945945946,0.7096774193548387,importants/irl_matrix_8x8_2023q1/models/irl_h21m_t3m_fixed_seq.pth
21,6,6,291,True,15,232,59,0.8292682926829269,0.9076258975273119,0.7288135593220338,0.9310344827586207,0.6585365853658537,0.7714285714285715,importants/irl_matrix_8x8_2023q1/models/irl_h21m_t6m_fixed_seq.pth
21,9,6,291,True,15,232,59,0.8270348837209303,0.9198777383290211,0.7288135593220338,0.9354838709677419,0.6744186046511628,0.7837837837837838,importants/irl_matrix_8x8_2023q1/models/irl_h21m_t9m_fixed_seq.pth
21,12,6,291,True,15,232,59,0.8896321070234114,0.947934302067332,0.7796610169491526,0.9714285714285714,0.7391304347826086,0.8395061728395061,importants/irl_matrix_8x8_2023q1/models/irl_h21m_t12m_fixed_seq.pth
21,15,6,291,True,15,232,59,0.8996655518394648,0.9525082700867509,0.711864406779661,0.967741935483871,0.6521739130434783,0.7792207792207793,importants/irl_matrix_8x8_2023q1/models/irl_h21m_t15m_fixed_seq.pth
21,18,6,291,True,15,232,59,0.8979933110367894,0.9522671033341568,0.7966101694915254,0.9722222222222222,0.7608695652173914,0.8536585365853658,importants/irl_matrix_8x8_2023q1/models/irl_h21m_t18m_fixed_seq.pth
21,21,6,291,True,15,232,59,0.895390070921986,0.9544420985827885,0.864406779661017,0.975609756097561,0.851063829787234,0.9090909090909091,importants/irl_matrix_8x8_2023q1/models/irl_h21m_t21m_fixed_seq.pth
21,24,6,291,True,15,232,59,0.8238636363636364,0.9413532353025675,0.7457627118644068,0.9714285714285714,0.7083333333333334,0.8192771084337349,importants/irl_matrix_8x8_2023q1/models/irl_h21m_t24m_fixed_seq.pth
24,3,6,291,True,15,232,59,0.8022113022113022,0.8691606422687077,0.711864406779661,0.8571428571428571,0.6486486486486487,0.7384615384615385,importants/irl_matrix_8x8_2023q1/models/irl_h24m_t3m_fixed_seq.pth
24,6,6,291,True,15,232,59,0.8211382113821137,0.9024696601040494,0.6779661016949152,0.9230769230769231,0.5853658536585366,0.7164179104477612,importants/irl_matrix_8x8_2023q1/models/irl_h24m_t6m_fixed_seq.pth
24,9,6,291,True,15,232,59,0.8328488372093023,0.9183216662201473,0.6779661016949152,0.9285714285714286,0.6046511627906976,0.7323943661971831,importants/irl_matrix_8x8_2023q1/models/irl_h24m_t9m_fixed_seq.pth
24,12,6,291,True,15,232,59,0.8695652173913043,0.9393916384756363,0.6949152542372882,0.9375,0.6521739130434783,0.7692307692307693,importants/irl_matrix_8x8_2023q1/models/irl_h24m_t12m_fixed_seq.pth
24,15,6,291,True,15,232,59,0.891304347826087,0.94500968752683,0.8135593220338984,0.9487179487179487,0.8043478260869565,0.8705882352941177,importants/irl_matrix_8x8_2023q1/models/irl_h24m_t15m_fixed_seq.pth
24,18,6,291,True,15,232,59,0.8913043478260869,0.9414408690767208,0.8135593220338984,0.972972972972973,0.782608695652174,0.8674698795180723,importants/irl_matrix_8x8_2023q1/models/irl_h24m_t18m_fixed_seq.pth
24,21,6,291,True,15,232,59,0.8404255319148937,0.9387537873729809,0.711864406779661,0.96875,0.6595744680851063,0.7848101265822784,importants/irl_matrix_8x8_2023q1/models/irl_h24m_t21m_fixed_seq.pth
24,24,6,291,True,15,232,59,0.8731060606060607,0.9434747348920561,0.7796610169491526,0.972972972972973,0.75,0.8470588235294118,importants/irl_matrix_8x8_2023q1/models/irl_h24m_t24m_fixed_seq.pth
