feature,weight,abs_weight,type,category
state_feat15_x_feat24_interaction,0.2302401,0.2302401,state,interaction
state_feat24_trend,-0.22812946,0.22812946,state,temporal
action_feat7_step3_diff,-0.22799668,0.22799668,action,step_diff
state_feat29_short_mean,0.22792104,0.22792104,state,temporal
action_feat1_x_feat2_interaction,0.22698784,0.22698784,action,interaction
state_feat20_trend,-0.22671476,0.22671476,state,temporal
state_feat5_volatility,-0.22361714,0.22361714,state,temporal
state_feat25_step4_diff,-0.22355643,0.22355643,state,step_diff
state_feat16_step2_diff,-0.22298644,0.22298644,state,step_diff
state_feat26_mid_mean,-0.22285497,0.22285497,state,temporal
state_feat21_trend,-0.22238529,0.22238529,state,temporal
state_feat31_volatility,-0.22135723,0.22135723,state,temporal
state_feat4_last,-0.22124512,0.22124512,state,temporal
state_feat23_x_feat8_interaction,0.22060837,0.22060837,state,interaction
state_feat13_mean,-0.22017385,0.22017385,state,temporal
action_feat1_step4_diff,0.21985346,0.21985346,action,step_diff
action_feat3_max,-0.21971941,0.21971941,action,temporal
state_feat28_change,0.2190783,0.2190783,state,temporal
state_feat8_step2_diff,-0.21849187,0.21849187,state,step_diff
action_feat2_step5_diff,-0.21718156,0.21718156,action,step_diff
state_feat24_mid_mean,-0.21670091,0.21670091,state,temporal
state_feat8_x_feat13_interaction,0.2166775,0.2166775,state,interaction
state_feat3_change,-0.21630946,0.21630946,state,temporal
state_feat2_x_feat8_interaction,0.21560147,0.21560147,state,interaction
state_feat31_mid_mean,-0.21508692,0.21508692,state,temporal
state_feat15_x_feat1_interaction,0.21498805,0.21498805,state,interaction
state_feat15_step1_diff,0.21386608,0.21386608,state,step_diff
state_feat2_step5_diff,0.21364892,0.21364892,state,step_diff
state_feat13_x_feat24_interaction,-0.21257615,0.21257615,state,interaction
state_feat17_short_mean,0.21192926,0.21192926,state,temporal
state_feat15_step2_diff,0.21007486,0.21007486,state,step_diff
state_feat25_step5_diff,0.20998256,0.20998256,state,step_diff
state_feat16_max,-0.20939295,0.20939295,state,temporal
state_feat25_max,0.20825022,0.20825022,state,temporal
state_feat23_step2_diff,0.20783733,0.20783733,state,step_diff
state_feat19_step1_diff,0.20676295,0.20676295,state,step_diff
state_feat27_step5_diff,-0.20617345,0.20617345,state,step_diff
state_feat11_mid_mean,-0.20546812,0.20546812,state,temporal
state_feat11_last,-0.20488003,0.20488003,state,temporal
state_feat13_short_mean,0.20466013,0.20466013,state,temporal
action_feat6_max,0.20391466,0.20391466,action,temporal
state_feat1_step1_diff,0.20371766,0.20371766,state,step_diff
action_feat4_step4_diff,-0.20351319,0.20351319,action,step_diff
state_feat17_x_feat2_interaction,0.20347363,0.20347363,state,interaction
state_feat0_step3_diff,0.20333743,0.20333743,state,step_diff
action_feat3_x_feat8_interaction,-0.20305744,0.20305744,action,interaction
state_feat1_mean,0.2022911,0.2022911,state,temporal
state_feat21_step3_diff,-0.2009371,0.2009371,state,step_diff
state_feat11_step5_diff,0.20088239,0.20088239,state,step_diff
state_feat26_step1_diff,0.20069161,0.20069161,state,step_diff
state_feat28_step2_diff,-0.2000471,0.2000471,state,step_diff
action_feat6_change,0.19962034,0.19962034,action,temporal
state_feat11_step3_diff,0.19852196,0.19852196,state,step_diff
state_feat5_step1_diff,0.19581135,0.19581135,state,step_diff
action_feat6_x_feat8_interaction,0.1933334,0.1933334,action,interaction
state_feat31_step2_diff,0.19329318,0.19329318,state,step_diff
state_feat29_change,-0.19179784,0.19179784,state,temporal
state_feat3_step3_diff,0.19153401,0.19153401,state,step_diff
state_feat30_step1_diff,0.19086894,0.19086894,state,step_diff
state_feat7_mean,-0.1907154,0.1907154,state,temporal
state_feat10_short_mean,0.19047949,0.19047949,state,temporal
state_feat2_weighted_mean,0.18961178,0.18961178,state,temporal
action_feat6_step2_diff,-0.1892772,0.1892772,action,step_diff
state_feat5_mid_mean,0.18924479,0.18924479,state,temporal
state_feat24_change,0.18903396,0.18903396,state,temporal
state_feat10_max,-0.1881396,0.1881396,state,temporal
state_feat15_weighted_mean,0.18802606,0.18802606,state,temporal
state_feat29_step4_diff,0.18780376,0.18780376,state,step_diff
state_feat2_x_feat24_interaction,0.18657324,0.18657324,state,interaction
action_feat5_x_feat2_interaction,-0.18445982,0.18445982,action,interaction
state_feat26_step3_diff,0.18407424,0.18407424,state,step_diff
state_feat30_step4_diff,-0.1837644,0.1837644,state,step_diff
state_feat15_x_feat8_interaction,0.18375231,0.18375231,state,interaction
state_feat30_last,-0.18340276,0.18340276,state,temporal
state_feat26_weighted_mean,-0.1810296,0.1810296,state,temporal
state_feat2_trend,-0.18059635,0.18059635,state,temporal
action_feat7_step2_diff,-0.18039428,0.18039428,action,step_diff
state_feat2_step4_diff,0.17980218,0.17980218,state,step_diff
state_feat15_mean,0.1797833,0.1797833,state,temporal
state_feat4_volatility,0.17951246,0.17951246,state,temporal
state_feat19_step5_diff,0.17721622,0.17721622,state,step_diff
state_feat21_weighted_mean,-0.17707932,0.17707932,state,temporal
state_feat6_short_mean,0.17645332,0.17645332,state,temporal
state_feat19_step3_diff,-0.1763377,0.1763377,state,step_diff
action_feat2_mean,0.17511645,0.17511645,action,temporal
state_feat20_mid_mean,-0.17492522,0.17492522,state,temporal
state_feat18_step2_diff,0.17483686,0.17483686,state,step_diff
state_feat11_trend,0.17332256,0.17332256,state,temporal
state_feat9_step5_diff,0.17311962,0.17311962,state,step_diff
state_feat2_mid_mean,0.17231323,0.17231323,state,temporal
state_feat9_volatility,0.17162542,0.17162542,state,temporal
state_feat22_min,0.17048405,0.17048405,state,temporal
state_feat23_mid_mean,-0.16914795,0.16914795,state,temporal
state_feat18_trend,-0.1687121,0.1687121,state,temporal
state_feat25_step1_diff,0.16811329,0.16811329,state,step_diff
state_feat1_trend,-0.16798885,0.16798885,state,temporal
state_feat17_mean,0.16798219,0.16798219,state,temporal
state_feat7_short_mean,0.16766715,0.16766715,state,temporal
action_feat3_step1_diff,-0.16741031,0.16741031,action,step_diff
action_feat7_x_feat6_interaction,0.16732894,0.16732894,action,interaction
action_feat4_volatility,-0.1671471,0.1671471,action,temporal
state_feat16_weighted_mean,-0.1668587,0.1668587,state,temporal
state_feat12_volatility,-0.16670759,0.16670759,state,temporal
state_feat7_volatility,0.16633795,0.16633795,state,temporal
action_feat2_weighted_mean,0.16555929,0.16555929,action,temporal
state_feat27_step2_diff,0.16458212,0.16458212,state,step_diff
state_feat13_weighted_mean,-0.16406912,0.16406912,state,temporal
state_feat27_volatility,0.16376472,0.16376472,state,temporal
state_feat14_last,0.1635196,0.1635196,state,temporal
state_feat22_change,0.16341749,0.16341749,state,temporal
state_feat7_max,-0.16265392,0.16265392,state,temporal
action_feat5_step4_diff,0.16258425,0.16258425,action,step_diff
state_feat21_mean,-0.16125466,0.16125466,state,temporal
state_feat18_short_mean,0.16107689,0.16107689,state,temporal
state_feat12_step1_diff,0.1610442,0.1610442,state,step_diff
action_feat7_volatility,-0.16087307,0.16087307,action,temporal
state_feat6_step2_diff,0.16064471,0.16064471,state,step_diff
state_feat1_mid_mean,0.1605081,0.1605081,state,temporal
state_feat4_short_mean,0.1600412,0.1600412,state,temporal
state_feat28_last,0.15848076,0.15848076,state,temporal
state_feat21_min,0.15825815,0.15825815,state,temporal
state_feat9_step1_diff,0.15732023,0.15732023,state,step_diff
state_feat13_last,-0.15721841,0.15721841,state,temporal
state_feat17_step2_diff,0.15721583,0.15721583,state,step_diff
state_feat17_weighted_mean,0.15673608,0.15673608,state,temporal
state_feat5_step3_diff,-0.15594517,0.15594517,state,step_diff
state_feat2_short_mean,-0.15591612,0.15591612,state,temporal
state_feat3_trend,-0.1558106,0.1558106,state,temporal
state_feat11_short_mean,-0.15573202,0.15573202,state,temporal
state_feat10_step3_diff,-0.15548477,0.15548477,state,step_diff
action_feat2_change,0.15495999,0.15495999,action,temporal
state_feat15_trend,0.15470268,0.15470268,state,temporal
state_feat28_step5_diff,-0.15460877,0.15460877,state,step_diff
state_feat18_step4_diff,-0.15401271,0.15401271,state,step_diff
state_feat28_mean,0.1537618,0.1537618,state,temporal
state_feat22_step5_diff,-0.1531587,0.1531587,state,step_diff
state_feat23_volatility,0.15233101,0.15233101,state,temporal
state_feat9_mid_mean,-0.15182897,0.15182897,state,temporal
action_feat8_x_feat2_interaction,0.15162453,0.15162453,action,interaction
state_feat18_last,0.15136889,0.15136889,state,temporal
state_feat29_step1_diff,-0.15094067,0.15094067,state,step_diff
state_feat14_mean,-0.15042591,0.15042591,state,temporal
state_feat12_step5_diff,0.14795636,0.14795636,state,step_diff
state_feat2_x_feat13_interaction,0.14789137,0.14789137,state,interaction
action_feat5_mid_mean,0.14774789,0.14774789,action,temporal
action_feat2_step4_diff,-0.14706837,0.14706837,action,step_diff
state_feat1_weighted_mean,0.14649831,0.14649831,state,temporal
state_feat4_mean,-0.14629118,0.14629118,state,temporal
state_feat28_weighted_mean,0.14545996,0.14545996,state,temporal
state_feat20_change,0.14531781,0.14531781,state,temporal
state_feat17_step3_diff,-0.14425318,0.14425318,state,step_diff
action_feat6_trend,-0.14384514,0.14384514,action,temporal
state_feat8_change,0.14297809,0.14297809,state,temporal
action_feat3_last,0.14267941,0.14267941,action,temporal
state_feat24_x_feat1_interaction,0.14161813,0.14161813,state,interaction
state_feat20_x_feat2_interaction,0.14058703,0.14058703,state,interaction
state_feat12_mean,0.14032231,0.14032231,state,temporal
state_feat17_x_feat24_interaction,-0.1387717,0.1387717,state,interaction
state_feat5_step2_diff,-0.13867642,0.13867642,state,step_diff
state_feat9_step4_diff,-0.1386416,0.1386416,state,step_diff
action_feat2_max,-0.13853337,0.13853337,action,temporal
state_feat29_step2_diff,0.13845737,0.13845737,state,step_diff
state_feat26_step2_diff,0.13692525,0.13692525,state,step_diff
action_feat4_weighted_mean,-0.1361109,0.1361109,action,temporal
action_feat3_step4_diff,0.13518468,0.13518468,action,step_diff
state_feat30_step2_diff,-0.13462302,0.13462302,state,step_diff
state_feat13_mid_mean,-0.13459554,0.13459554,state,temporal
state_feat12_weighted_mean,0.13433988,0.13433988,state,temporal
action_feat4_max,-0.13410327,0.13410327,action,temporal
state_feat20_max,0.13375822,0.13375822,state,temporal
action_feat4_step1_diff,0.13287972,0.13287972,action,step_diff
state_feat31_step3_diff,0.13242549,0.13242549,state,step_diff
state_feat11_step4_diff,-0.13216178,0.13216178,state,step_diff
state_feat27_change,0.13024686,0.13024686,state,temporal
state_feat31_step1_diff,0.12944488,0.12944488,state,step_diff
state_feat8_short_mean,0.12933554,0.12933554,state,temporal
state_feat4_weighted_mean,-0.12927166,0.12927166,state,temporal
state_feat25_step3_diff,0.12802303,0.12802303,state,step_diff
state_feat8_step5_diff,-0.1275854,0.1275854,state,step_diff
state_feat15_x_feat23_interaction,-0.12668452,0.12668452,state,interaction
action_feat8_step3_diff,0.1263529,0.1263529,action,step_diff
state_feat13_volatility,-0.1257606,0.1257606,state,temporal
action_feat8_min,-0.12378329,0.12378329,action,temporal
state_feat24_step5_diff,-0.12271697,0.12271697,state,step_diff
state_feat4_step2_diff,0.12256314,0.12256314,state,step_diff
action_feat3_step3_diff,0.12237839,0.12237839,action,step_diff
state_feat15_step4_diff,0.12054951,0.12054951,state,step_diff
state_feat28_step1_diff,0.120527945,0.120527945,state,step_diff
action_feat8_step4_diff,-0.12042939,0.12042939,action,step_diff
state_feat0_weighted_mean,0.12011661,0.12011661,state,temporal
state_feat5_x_feat20_interaction,-0.11977463,0.11977463,state,interaction
action_feat7_x_feat4_interaction,0.118892774,0.118892774,action,interaction
state_feat3_step1_diff,0.11787953,0.11787953,state,step_diff
state_feat14_weighted_mean,-0.11776354,0.11776354,state,temporal
state_feat14_trend,0.1172559,0.1172559,state,temporal
state_feat12_step3_diff,0.1172017,0.1172017,state,step_diff
state_feat22_step3_diff,-0.11671159,0.11671159,state,step_diff
state_feat4_step3_diff,0.11636634,0.11636634,state,step_diff
action_feat1_x_feat8_interaction,-0.11496771,0.11496771,action,interaction
action_feat5_mean,-0.114857174,0.114857174,action,temporal
state_feat3_step2_diff,0.11472699,0.11472699,state,step_diff
state_feat31_last,0.11461658,0.11461658,state,temporal
state_feat23_min,-0.113547504,0.113547504,state,temporal
state_feat16_mean,-0.113367096,0.113367096,state,temporal
action_feat8_short_mean,-0.11261936,0.11261936,action,temporal
action_feat5_min,0.11145694,0.11145694,action,temporal
state_feat30_short_mean,-0.110779606,0.110779606,state,temporal
action_feat5_x_feat8_interaction,0.10840814,0.10840814,action,interaction
state_feat4_step1_diff,-0.10780503,0.10780503,state,step_diff
action_feat5_x_feat4_interaction,-0.10773511,0.10773511,action,interaction
state_feat17_mid_mean,0.10718932,0.10718932,state,temporal
state_feat3_last,0.10665085,0.10665085,state,temporal
state_feat12_step2_diff,0.10656476,0.10656476,state,step_diff
state_feat2_x_feat23_interaction,0.10581798,0.10581798,state,interaction
action_feat8_step1_diff,-0.104707986,0.104707986,action,step_diff
state_feat19_step2_diff,0.104661405,0.104661405,state,step_diff
action_feat1_step5_diff,-0.10465903,0.10465903,action,step_diff
state_feat20_x_feat23_interaction,-0.104584165,0.104584165,state,interaction
state_feat27_trend,-0.10428954,0.10428954,state,temporal
action_feat3_x_feat2_interaction,0.10173458,0.10173458,action,interaction
state_feat7_step4_diff,-0.10138548,0.10138548,state,step_diff
action_feat4_short_mean,-0.10136598,0.10136598,action,temporal
action_feat5_weighted_mean,-0.100387216,0.100387216,action,temporal
action_feat7_mid_mean,-0.10021306,0.10021306,action,temporal
state_feat4_step5_diff,-0.10009029,0.10009029,state,step_diff
action_feat5_change,-0.099537164,0.099537164,action,temporal
state_feat8_max,-0.09937865,0.09937865,state,temporal
state_feat17_last,0.09811084,0.09811084,state,temporal
action_feat2_min,-0.09784289,0.09784289,action,temporal
action_feat4_mean,-0.09771215,0.09771215,action,temporal
state_feat27_step3_diff,0.09731892,0.09731892,state,step_diff
state_feat0_step1_diff,0.096629634,0.096629634,state,step_diff
action_feat3_x_feat4_interaction,0.09662674,0.09662674,action,interaction
state_feat1_short_mean,-0.094763234,0.094763234,state,temporal
state_feat20_last,0.093557015,0.093557015,state,temporal
state_feat9_weighted_mean,-0.09343436,0.09343436,state,temporal
state_feat9_change,0.09328096,0.09328096,state,temporal
state_feat25_volatility,-0.09257649,0.09257649,state,temporal
state_feat5_x_feat8_interaction,-0.091960795,0.091960795,state,interaction
state_feat23_last,0.09133076,0.09133076,state,temporal
state_feat17_change,-0.09111793,0.09111793,state,temporal
state_feat16_step4_diff,0.09088289,0.09088289,state,step_diff
action_feat5_step3_diff,0.090127446,0.090127446,action,step_diff
action_feat5_x_feat6_interaction,-0.09005406,0.09005406,action,interaction
action_feat4_step2_diff,0.089832075,0.089832075,action,step_diff
action_feat3_step5_diff,-0.08906039,0.08906039,action,step_diff
state_feat26_volatility,0.089030735,0.089030735,state,temporal
state_feat28_trend,0.08704124,0.08704124,state,temporal
state_feat20_step2_diff,0.086768486,0.086768486,state,step_diff
state_feat9_max,0.08618732,0.08618732,state,temporal
state_feat21_short_mean,-0.08587091,0.08587091,state,temporal
action_feat8_change,0.08583611,0.08583611,action,temporal
state_feat19_volatility,-0.08506977,0.08506977,state,temporal
state_feat14_step2_diff,-0.0848496,0.0848496,state,step_diff
state_feat7_weighted_mean,-0.08333815,0.08333815,state,temporal
action_feat3_x_feat6_interaction,-0.08295186,0.08295186,action,interaction
state_feat1_last,0.08227265,0.08227265,state,temporal
state_feat27_max,-0.08186561,0.08186561,state,temporal
action_feat5_x_feat1_interaction,-0.0816369,0.0816369,action,interaction
state_feat31_step4_diff,-0.08144545,0.08144545,state,step_diff
state_feat4_mid_mean,-0.08121943,0.08121943,state,temporal
state_feat9_last,0.08091759,0.08091759,state,temporal
state_feat14_step5_diff,-0.08027179,0.08027179,state,step_diff
state_feat6_step3_diff,-0.08014454,0.08014454,state,step_diff
state_feat29_mid_mean,0.07947879,0.07947879,state,temporal
state_feat26_step4_diff,-0.07859105,0.07859105,state,step_diff
state_feat12_trend,-0.0782419,0.0782419,state,temporal
state_feat0_mean,0.07790373,0.07790373,state,temporal
state_feat24_last,-0.07782447,0.07782447,state,temporal
action_feat5_volatility,-0.077291794,0.077291794,action,temporal
state_feat29_weighted_mean,0.077061035,0.077061035,state,temporal
state_feat22_mid_mean,0.07696653,0.07696653,state,temporal
action_feat4_x_feat2_interaction,-0.07665392,0.07665392,action,interaction
action_feat6_weighted_mean,-0.07663405,0.07663405,action,temporal
state_feat23_mean,0.075732544,0.075732544,state,temporal
